user_id,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
66,NA,NA,recent,3.3,3.3,3.6,3.8,3.1,3.6,6.571428571428571,6.428571428571429,5.625,6,5.5,1,1,1,1,1.2333102070008422,1.5963236520295268,1.8401380438059176,1.92321126673448,1.5149879689234211
67,NA,NA,not recent,2.8,5,3.9,3.5,2.8,2.6,1.2857142857142858,5.428571428571429,5.625,2.5714285714285716,1,1,1,1,1,-1.4669114746506233,1.5963236520295268,-0.8428983543563151,-2.6231721378123503,0.46079010924228686
68,NA,NA,not recent,3,4.1,4,3.9,1.6,3,3,4.857142857142857,3.875,6.285714285714286,1.75,1,1,1,1,-1.0168745277087126,0.01739403627870477,2.063724410319437,-1.1486694120133782,-0.14160866771836197
69,NA,NA,not recent,2.8,3.1,3.4,3,4.4,2.3,4.285714285714286,4.714285714285714,3,4.571428571428571,4,1,1,1,1,0.33323631311702034,-0.7720707715967062,0.7222062112383204,-0.04279236766414927,-0.29220836195852345
70,NA,NA,recent,2.2,4,3.3,2.4,2.3,2.9,4.285714285714286,5.714285714285714,3.125,3.5714285714285716,3.25,4.3,1,4.2,1,-0.11680063382489059,-0.6592900847573617,-0.06034607155899718,-0.04279236766414927,0.7619894977226108
71,NA,NA,not recent,3,4.5,4.3,3.8,4.5,2.8,2,4,2.125,4.571428571428571,3.25,1.1,1,1.1,1,-0.11680063382489059,-1.561535579472117,0.7222062112383204,-2.0087960020627786,-1.0452068331593338
72,NA,NA,not recent,3.6,4.5,3.2,3.7,3.9,3.3,4,5.571428571428571,4.25,3.7142857142857144,2,2.4,2.5,2.7,2.7,-0.8668622120614088,0.355736096796738,0.05144711169776247,-0.28854282196397785,0.6113898034824484
73,NA,NA,not recent,3.6,3.9,4.4,3.4,4.3,4.1,4.142857142857143,5.714285714285714,4.125,3.7142857142857144,1,4.4,1.9,4.8,2.1,-1.4669114746506233,0.24295540995739362,0.05144711169776247,-0.16566759481406318,0.7619894977226108
74,NA,NA,recent,3.4,3.7,2.6,2.6,3.7,3.7,5.428571428571429,6.142857142857143,4.25,3.4285714285714284,1.75,3.5,1.9,4.2,5,-1.0168745277087126,0.355736096796738,-0.17213925481575718,0.9402094495351657,1.2137885804430972
75,NA,NA,recent,3.2,4.2,3.6,3.4,4,2.5,4.142857142857143,5.714285714285714,3.875,3.7142857142857144,5,3.4,1.6,3.8,2.6,0.9332855757062349,0.01739403627870477,0.05144711169776247,-0.16566759481406318,0.7619894977226108
76,NA,NA,not recent,3.3,4.4,4.9,4.4,3.4,3.7,5.428571428571429,5.142857142857143,3.625,3.857142857142857,1,1.2,1,1.4,1,-1.4669114746506233,-0.20816733739998408,0.16324029495452214,0.9402094495351657,0.15959072076196293
78,NA,NA,recent,4.2,2.6,3.9,3.2,2.9,3.8,3.857142857142857,5.142857142857143,3.625,3.4285714285714284,5.75,1,1,1,1,1.3833225226481458,-0.20816733739998408,-0.17213925481575718,-0.4114180491138921,0.15959072076196293
79,NA,NA,recent,3.3,3.9,3.9,2.7,2.4,3.6,4,5.571428571428571,3,2,6.25,1.1,1,1.2,1,1.6833471539427531,-0.7720707715967062,-1.290071087383354,-0.28854282196397785,0.6113898034824484
80,NA,NA,recent,3.2,4.1,2.5,3.5,3.7,3.4,3.5714285714285716,4,3,2.5714285714285716,4,2,1,1.4,1,0.33323631311702034,-0.7720707715967062,-0.8428983543563151,-0.6571685034137207,-1.0452068331593338
81,NA,NA,not recent,3.1,4.5,4.6,3.3,3.5,3.1,4.428571428571429,5.571428571428571,5.5,3.142857142857143,1.25,1.5,1,1.6,1,-1.3168991590033197,1.4835429651901821,-0.3957256213292765,0.08008285948576539,0.6113898034824484
82,NA,NA,not recent,2.7,4,3.3,2.7,1.6,3.9,2.857142857142857,4.571428571428571,2,5.428571428571429,2.25,1.3,1,1.1,1,-0.7168498964141051,-1.6743162663114615,1.392965310778879,-1.2715446391632925,-0.4428080561986859
83,NA,NA,not recent,3.4,3.2,3.3,3.5,2.8,3.9,3.857142857142857,5,4.5,3.5714285714285716,1.25,3.8,1,3.9,1,-1.3168991590033197,0.5812974704754269,-0.06034607155899718,-0.4114180491138921,0.008991026521800477
84,NA,NA,not recent,3.4,4.5,3.8,3.3,4,4,2.7142857142857144,4.428571428571429,5.625,2.857142857142857,5,1.1,1,1.3,1,0.9332855757062349,1.5963236520295268,-0.6193119878427958,-1.3944198663132068,-0.5934077504388474
85,NA,NA,recent,3.5,3.7,3.6,3.4,3.9,3.2,4,6.142857142857143,4.25,4,5.75,1.8,1,1.9,1.1,1.3833225226481458,0.355736096796738,0.27503347821128177,-0.28854282196397785,1.2137885804430972
86,NA,NA,recent,1.8,2.7,4.1,1.9,3.7,3.8,3.857142857142857,5.571428571428571,3.5,3,5.75,3.6,1.8,3.7,2,1.3833225226481458,-0.3209480242393285,-0.5075188045860362,-0.4114180491138921,0.6113898034824484
87,NA,NA,recent,3.9,3.6,2.9,2.9,2.7,3.5,4,4.428571428571429,1.625,1.7142857142857142,5.5,2,1.7,2,1.7,1.2333102070008422,-2.0126583268294946,-1.5136574538968737,-0.28854282196397785,-0.5934077504388474
88,NA,NA,not recent,3.3,3.7,3.4,3.2,2.6,3.5,3.857142857142857,4.857142857142857,4.125,3.7142857142857144,1.25,1.3,1,1.4,1,-1.3168991590033197,0.24295540995739362,0.05144711169776247,-0.4114180491138921,-0.14160866771836197
89,NA,NA,not recent,3.2,3.7,3.3,3.1,2.2,4.1,2.857142857142857,4.857142857142857,5.125,3.142857142857143,1,1.4,1,1.5,1,-1.4669114746506233,1.145200904672149,-0.3957256213292765,-1.2715446391632925,-0.14160866771836197
90,NA,NA,not recent,3,4,3.9,3.6,3,3.2,4.571428571428571,5.285714285714286,4.375,3.5714285714285716,1.25,1.2,1,1.3,1,-1.3168991590033197,0.46851678363608246,-0.06034607155899718,0.2029580866356793,0.3101904150021244
91,NA,NA,not recent,2.8,3.5,3.4,2.1,2.7,2.2,4.714285714285714,6,3.375,3.5714285714285716,2,3.8,2.7,3.4,2.8,-0.8668622120614088,-0.4337287110786729,-0.06034607155899718,0.32583331378559394,1.0631888862029348
92,NA,NA,not recent,3.9,4.4,2.4,4.1,2.6,3.4,3.857142857142857,5,4,2.4285714285714284,1,1,1,1,1,-1.4669114746506233,0.1301747231180492,-0.9546915376130751,-0.4114180491138921,0.008991026521800477
93,NA,NA,recent,2.5,3.5,4.3,3.6,4.3,4,5.428571428571429,5.571428571428571,4.25,5,3,2.1,1,2.4,1.4,-0.26681294947219425,0.355736096796738,1.0575857610085997,0.9402094495351657,0.6113898034824484
94,NA,NA,not recent,4.3,4.5,3.4,3.8,3.5,3.2,5.571428571428571,5.714285714285714,5.125,2.857142857142857,2.5,4.2,1,4.8,1.6,-0.5668375807668016,1.145200904672149,-0.6193119878427958,1.0630846766850797,0.7619894977226108
