user_id,face_type,rt,sex,age,recent_cold,img,pd,PVDga,PVDpi,recency,recency.z,PVDga.z,PVDpi.z
59,normal,618.4782608695652,NA,NA,recent,4.857142857142857,4.857142857142857,4.875,3.2857142857142856,3.5,0.03287989560930365,1.3814735044061495,-0.22346257095468924
60,disfigured,456.17391304347825,NA,NA,not recent,2.7142857142857144,4,3.5,3.2857142857142856,2,-0.8660863411632498,-0.8120756777160706,-0.22346257095468924
60,normal,440.4166666666667,NA,NA,not recent,2.7142857142857144,4,3.5,3.2857142857142856,2,-0.8660863411632498,-0.8120756777160706,-0.22346257095468924
61,disfigured,579.9545454545455,NA,NA,recent,3.857142857142857,5.428571428571429,4.25,3.2857142857142856,6.5,1.8308123691544107,0.3844056943505949,-0.22346257095468924
61,normal,594.4782608695652,NA,NA,recent,3.857142857142857,5.428571428571429,4.25,3.2857142857142856,6.5,1.8308123691544107,0.3844056943505949,-0.22346257095468924
62,disfigured,523.7916666666666,NA,NA,not recent,3.5714285714285716,5.714285714285714,3.375,3.857142857142857,2,-0.8660863411632498,-1.0114892397271815,0.9478902519581264
62,normal,515.1666666666666,NA,NA,not recent,3.5714285714285716,5.714285714285714,3.375,3.857142857142857,2,-0.8660863411632498,-1.0114892397271815,0.9478902519581264
63,disfigured,598.3809523809524,NA,NA,not recent,4.428571428571429,5,4.375,3.7142857142857144,2,-0.8660863411632498,0.5838192563617058,0.6550520462299226
63,normal,464.8695652173913,NA,NA,not recent,4.428571428571429,5,4.375,3.7142857142857144,2,-0.8660863411632498,0.5838192563617058,0.6550520462299226
65,disfigured,498.6666666666667,NA,NA,not recent,5.285714285714286,6.714285714285714,4.75,2.857142857142857,1.5,-1.1657417534207677,1.1820599423950384,-1.1019771881393001
65,normal,513.1363636363636,NA,NA,not recent,5.285714285714286,6.714285714285714,4.75,2.857142857142857,1.5,-1.1657417534207677,1.1820599423950384,-1.1019771881393001
66,disfigured,676,NA,NA,recent,6.571428571428571,6.428571428571429,4.125,4,5.5,1.231501544639375,0.18499213233948397,1.24072845768633
66,normal,666.1666666666666,NA,NA,recent,6.571428571428571,6.428571428571429,4.125,4,5.5,1.231501544639375,0.18499213233948397,1.24072845768633
67,disfigured,717.8695652173913,NA,NA,not recent,1.2857142857142858,5.428571428571429,4.125,3.142857142857143,1,-1.4653971656782854,0.18499213233948397,-0.5163007766828929
67,normal,728.0833333333334,NA,NA,not recent,1.2857142857142858,5.428571428571429,4.125,3.142857142857143,1,-1.4653971656782854,0.18499213233948397,-0.5163007766828929
68,disfigured,716.7391304347826,NA,NA,not recent,3,4.857142857142857,3.625,4,1.75,-1.0159140472920087,-0.6126621157049597,1.24072845768633
68,normal,760.375,NA,NA,not recent,3,4.857142857142857,3.625,4,1.75,-1.0159140472920087,-0.6126621157049597,1.24072845768633
69,disfigured,406.45454545454544,NA,NA,not recent,4.285714285714286,4.714285714285714,4.25,3.7142857142857144,4,0.33253530786682145,0.3844056943505949,0.6550520462299226
69,normal,390.8333333333333,NA,NA,not recent,4.285714285714286,4.714285714285714,4.25,3.7142857142857144,4,0.33253530786682145,0.3844056943505949,0.6550520462299226
70,disfigured,507.4761904761905,NA,NA,recent,4.285714285714286,5.714285714285714,3.125,3,3.25,-0.11694781051945527,-1.4103163637494034,-0.8091389824110966
70,normal,438.77272727272725,NA,NA,recent,4.285714285714286,5.714285714285714,3.125,3,3.25,-0.11694781051945527,-1.4103163637494034,-0.8091389824110966
