subject	blockcode	trialcode	trialnum	latency	response	stimulusitem1	stimulusitem2	stimulusitem3	stimulusitem4	stimulusitem5										
402	practice	practice_topright_same	12	570	18	mask.bmp	blankscreen.bmp	practice3.jpg	blankscreen.bmp	square.bmp										
402	real_a	real_bottomleft_diff_a	1	623	18	mask.bmp	blankscreen.bmp	wfd3.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topright_same_a	2	537	23	mask.bmp	blankscreen.bmp	wfd5.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_topleft_diff_a	3	509	18	mask.bmp	blankscreen.bmp	wfn3.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_bottomright_same_a	4	499	23	mask.bmp	blankscreen.bmp	wmd5.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_topleft_same_a	5	545	18	mask.bmp	blankscreen.bmp	wfd4.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_bottomright_diff_a	6	454	23	mask.bmp	blankscreen.bmp	wmd1.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_topleft_same_a	7	414	18	mask.bmp	blankscreen.bmp	wfn4.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topright_diff_a	8	431	23	mask.bmp	blankscreen.bmp	wmn1.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_topleft_diff_a	9	376	23	mask.bmp	blankscreen.bmp	wmd2.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomleft_same_a	10	364	23	mask.bmp	blankscreen.bmp	wmd4.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomleft_diff_a	11	504	23	mask.bmp	blankscreen.bmp	wfn1.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomleft_diff_a	12	430	23	mask.bmp	blankscreen.bmp	wmn2.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomright_diff_a	13	407	18	mask.bmp	blankscreen.bmp	wmn3.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topright_same_a	14	329	18	mask.bmp	blankscreen.bmp	wmn4.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topright_diff_a	15	446	18	mask.bmp	blankscreen.bmp	wmd3.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topright_diff_a	16	431	23	mask.bmp	blankscreen.bmp	wfd2.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomright_diff_a	17	448	23	mask.bmp	blankscreen.bmp	wfn2.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomleft_same_a	18	440	18	mask.bmp	blankscreen.bmp	wfn5.bmp	blankscreen.bmp	circle.bmp										
402	real_a	real_topleft_diff_a	19	417	23	mask.bmp	blankscreen.bmp	wfd1.bmp	blankscreen.bmp	square.bmp										
402	real_a	real_bottomright_same_a	20	450	23	mask.bmp	blankscreen.bmp	wmn5.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_topright_diff_b	1	451	18	mask.bmp	blankscreen.bmp	wfn6.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_bottomleft_diff_b	2	483	18	mask.bmp	blankscreen.bmp	wfn7.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_topright_same_b	3	418	18	mask.bmp	blankscreen.bmp	wfn9.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_topleft_same_b	4	355	18	mask.bmp	blankscreen.bmp	wmd9.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_bottomright_diff_b	5	359	18	mask.bmp	blankscreen.bmp	wfn8.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_topleft_diff_b	6	371	23	mask.bmp	blankscreen.bmp	wfd7.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_bottomleft_diff_b	7	367	23	mask.bmp	blankscreen.bmp	wmn8.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_bottomright_same_b	8	387	23	mask.bmp	blankscreen.bmp	wfd10.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_topleft_diff_b	9	469	23	mask.bmp	blankscreen.bmp	wmd8.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_topright_diff_b	10	341	23	mask.bmp	blankscreen.bmp	wmn7.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_bottomleft_diff_b	11	369	18	mask.bmp	blankscreen.bmp	wmd6.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_bottomright_diff_b	12	381	18	mask.bmp	blankscreen.bmp	wmd7.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_topright_same_b	13	424	23	mask.bmp	blankscreen.bmp	wmn10.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_bottomright_same_b	14	425	23	mask.bmp	blankscreen.bmp	wfn10.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_topleft_same_b	15	363	23	mask.bmp	blankscreen.bmp	wmn9.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_topleft_diff_b	16	311	23	mask.bmp	blankscreen.bmp	wmn6.bmp	blankscreen.bmp	square.bmp										
402	real_b	real_bottomleft_same_b	17	308	18	mask.bmp	blankscreen.bmp	wfd9.bmp	blankscreen.bmp	circle.bmp										
402	real_b	real_bottomright_diff_b	18	362	23	mask.bmp	blankscreen.bmp	wfd6.bmp	blankscreen.bmp	square.bmp										
