user_id,face_type,site,rt,sex,age,recent_cold,hexaco.A,hexaco.C,hexaco.E,hexaco.H,hexaco.O,hexaco.X,img,pd,PVDga,PVDpi,recency,WFD,WFN,WMD,WMN,recency.z,PVDga.z,PVDpi.z,img.z,pd.z
46,disfigured,MI,610.5,NA,NA,recent,2.6,4.1,3.7,3.2,2.7,2.3,3.2857142857142856,3.2857142857142856,3,4.428571428571429,6,3,2.4,2.8,2,1.5333348382954495,-0.7720707715967062,0.610413027981561,-0.9029189577135496,-1.798205304360144
46,typical,MI,620.1002372466993,NA,NA,recent,2.6,4.1,3.7,3.2,2.7,2.3,3.2857142857142856,3.2857142857142856,3,4.428571428571429,6,3,2.4,2.8,2,1.5333348382954495,-0.7720707715967062,0.610413027981561,-0.9029189577135496,-1.798205304360144
47,disfigured,MI,618.2916666666666,NA,NA,not recent,3.5,4.8,4.7,4.1,3.9,4.6,5.571428571428571,4.142857142857143,4,5,1.5,1,1.1,1.2,1.1,-1.1668868433560162,0.1301747231180492,1.0575857610085997,1.0630846766850797,-0.8946071389191713
47,typical,MI,579.625,NA,NA,not recent,3.5,4.8,4.7,4.1,3.9,4.6,5.571428571428571,4.142857142857143,4,5,1.5,1,1.1,1.2,1.1,-1.1668868433560162,0.1301747231180492,1.0575857610085997,1.0630846766850797,-0.8946071389191713
48,disfigured,MI,536.1666666666666,NA,NA,not recent,3.2,3.3,3.3,2.6,2.4,3.2,5.428571428571429,6.857142857142857,5,3.857142857142857,1.75,2.6,1,2.8,1,-1.0168745277087126,1.0324202178328046,0.16324029495452214,0.9402094495351657,1.9667870516439065
48,typical,MI,591.375,NA,NA,not recent,3.2,3.3,3.3,2.6,2.4,3.2,5.428571428571429,6.857142857142857,5,3.857142857142857,1.75,2.6,1,2.8,1,-1.0168745277087126,1.0324202178328046,0.16324029495452214,0.9402094495351657,1.9667870516439065
49,disfigured,MI,533.3409290272119,NA,NA,recent,3.1,4.9,4.2,3,3.5,3.1,2.857142857142857,5.857142857142857,5.375,5,5.5,1,1,1,1,1.2333102070008422,1.3707622783508377,1.0575857610085997,-1.2715446391632925,0.9125891919627723
49,typical,MI,493.54545454545456,NA,NA,recent,3.1,4.9,4.2,3,3.5,3.1,2.857142857142857,5.857142857142857,5.375,5,5.5,1,1,1,1,1.2333102070008422,1.3707622783508377,1.0575857610085997,-1.2715446391632925,0.9125891919627723
50,disfigured,MI,709.2083333333334,NA,NA,not recent,3.6,2.8,2,3.9,2.9,3.5,4,5.571428571428571,3.125,2.4285714285714284,1,1,1,1,1,-1.4669114746506233,-0.6592900847573617,-0.9546915376130751,-0.28854282196397785,0.6113898034824484
50,typical,MI,686.5416666666666,NA,NA,not recent,3.6,2.8,2,3.9,2.9,3.5,4,5.571428571428571,3.125,2.4285714285714284,1,1,1,1,1,-1.4669114746506233,-0.6592900847573617,-0.9546915376130751,-0.28854282196397785,0.6113898034824484
51,disfigured,MI,653.6521739130435,NA,NA,not recent,3.5,4.3,3.8,4.4,3.9,3.5,3.857142857142857,5.857142857142857,4.875,3,4.5,1,1,1.2,1.3,0.6332609444116276,0.9196395309934602,-0.5075188045860362,-0.4114180491138921,0.9125891919627723
51,typical,MI,651.65,NA,NA,not recent,3.5,4.3,3.8,4.4,3.9,3.5,3.857142857142857,5.857142857142857,4.875,3,4.5,1,1,1.2,1.3,0.6332609444116276,0.9196395309934602,-0.5075188045860362,-0.4114180491138921,0.9125891919627723
