user_id,blockcode,position,trial_type,block,trialnum,rt,response,site,stim_id,face_sex,face_type,target,correct,mean_rt,sd_rt,n_correct
402,real_d,bottomright,diff,d,1,452,23,VU,wfd8,f,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_d,bottomleft,diff,d,2,348,23,VU,wmd8,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_d,topleft,diff,d,4,348,18,VU,wfn10,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_d,topright,diff,d,6,315,18,VU,wmd10,m,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_d,bottomleft,diff,d,8,356,18,VU,wfd10,f,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_d,topleft,diff,d,9,288,23,VU,wmd9,m,disfigured,square,1,400.3829787234043,71.39527240209328,47
402,real_d,topright,diff,d,12,304,18,VU,wfd9,f,disfigured,circle,1,400.3829787234043,71.39527240209328,47
402,real_d,topright,diff,d,14,309,18,VU,wfn8,f,typical,circle,1,400.3829787234043,71.39527240209328,47
402,real_d,bottomright,diff,d,15,331,23,VU,wmn10,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_d,bottomleft,diff,d,18,303,23,VU,wmn9,m,typical,square,1,400.3829787234043,71.39527240209328,47
402,real_d,topleft,diff,d,19,317,18,VU,wmn8,m,typical,circle,1,400.3829787234043,71.39527240209328,47
403,real_a,topleft,diff,a,2,663,23,VU,wfn3,f,typical,square,1,452.4166666666667,110.97015763945198,48
403,real_a,topright,diff,a,3,294,18,VU,wmn1,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,bottomleft,diff,a,4,381,18,VU,wmn2,m,typical,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,topright,diff,a,6,471,18,VU,wfd2,f,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,bottomright,diff,a,8,470,18,VU,wmd1,m,disfigured,circle,1,452.4166666666667,110.97015763945198,48
403,real_a,topleft,diff,a,9,342,23,VU,wfd1,f,disfigured,square,1,452.4166666666667,110.97015763945198,48
